bicycle_count,date,year,coordinates,long,lat
2400,20120904,2012,POINT (12.538491847628553 55.697416442245355),12.538491847628553,55.697416442245355
7900,20120919,2012,POINT (12.538023999075204 55.70456261200077),12.538023999075204,55.70456261200077
6800,20120913,2012,POINT (12.540029339371193 55.70106223397576),12.540029339371193,55.70106223397576
2100,20120919,2012,POINT (12.527398790046073 55.701779288685515),12.527398790046073,55.701779288685515
3700,20120919,2012,POINT (12.524016059399697 55.708133425256634),12.524016059399697,55.708133425256634
2600,20130430,2013,POINT (12.618021896909271 55.660821119620984),12.618021896909271,55.660821119620984
9200,20160906,2016,POINT (12.557317927954125 55.67071669155797),12.557317927954125,55.67071669155797
9300,20160906,2016,POINT (12.557806885756822 55.67024782653499),12.557806885756822,55.67024782653499
5000,20131030,2013,POINT (12.57095881136412 55.67795961863189),12.57095881136412,55.67795961863189
6300,20131030,2013,POINT (12.572805026037736 55.67864041029355),12.572805026037736,55.67864041029355
11200,20131030,2013,POINT (12.572151700127108 55.678724399098286),12.572151700127108,55.678724399098286
1000,20131030,2013,POINT (12.56974592238108 55.67976065411429),12.56974592238108,55.67976065411429
100,20130530,2013,POINT (12.587661852185922 55.67439458920274),12.587661852185922,55.67439458920274
900,20140923,2014,POINT (12.585210785261298 55.6979919983844),12.585210785261298,55.6979919983844
1800,20141001,2014,POINT (12.575829410783278 55.68036691086824),12.575829410783278,55.68036691086824
1000,20130610,2013,POINT (12.586044166667987 55.693830846693515),12.586044166667987,55.693830846693515
