2022-11-03 12:19:15,149 INFO osmnx Configured OSMnx
2022-11-03 12:24:12,423 INFO osmnx Found nearest node (310477658) to point [55.665888064945264, 12.473359549810043]
2022-11-03 12:24:12,433 INFO osmnx Found nearest node (20937049) to point [55.66981904220939, 12.49999246268727]
2022-11-03 12:24:12,442 INFO osmnx Found nearest node (4927545889) to point [55.67374431291663, 12.526630823451132]
2022-11-03 12:24:12,452 INFO osmnx Found nearest node (814223) to point [55.67766387506288, 12.553274626110621]
2022-11-03 12:24:12,461 INFO osmnx Found nearest node (7640634) to point [55.68157772664604, 12.579923864664437]
2022-11-03 12:24:12,470 INFO osmnx Found nearest node (25102728) to point [55.685485865666, 12.606578533101002]
2022-11-03 12:24:12,480 INFO osmnx Found nearest node (1577472092) to point [55.68938829012467, 12.633238625398466]
2022-11-03 12:24:12,489 INFO osmnx Found nearest node (1577472092) to point [55.693284998025895, 12.659904135524688]
2022-11-03 12:24:12,499 INFO osmnx Found nearest node (401520030) to point [55.676766831634374, 12.439649890102269]
2022-11-03 12:24:12,508 INFO osmnx Found nearest node (20943314) to point [55.68070501736898, 12.466286897700108]
2022-11-03 12:24:12,518 INFO osmnx Found nearest node (662914) to point [55.68463749638732, 12.492929365941746]
2022-11-03 12:24:12,529 INFO osmnx Found nearest node (924624490) to point [55.68856426668092, 12.519577288840614]
2022-11-03 12:24:12,539 INFO osmnx Found nearest node (8225581) to point [55.692485326243286, 12.546230660399818]
2022-11-03 12:24:12,549 INFO osmnx Found nearest node (8322492) to point [55.69640067306996, 12.572889474612175]
2022-11-03 12:24:12,558 INFO osmnx Found nearest node (3637243102) to point [55.700310305158375, 12.599553725460185]
2022-11-03 12:24:12,568 INFO osmnx Found nearest node (2449720329) to point [55.70421422050806, 12.626223406916045]
2022-11-03 12:24:12,578 INFO osmnx Found nearest node (3762016495) to point [55.70811241712049, 12.652898512941674]
2022-11-03 12:24:12,588 INFO osmnx Found nearest node (278530561) to point [55.69552153280688, 12.459208792404985]
2022-11-03 12:24:12,598 INFO osmnx Found nearest node (271652278) to point [55.6994555148718, 12.485860823309231]
2022-11-03 12:24:12,607 INFO osmnx Found nearest node (287230626) to point [55.703383786042764, 12.512518315652404]
2022-11-03 12:24:12,618 INFO osmnx Found nearest node (793289) to point [55.707306344310865, 12.53918126343174]
2022-11-03 12:24:12,628 INFO osmnx Found nearest node (7476474) to point [55.711223187669205, 12.565849660634143]
2022-11-03 12:24:12,638 INFO osmnx Found nearest node (9714185103) to point [55.715134314112866, 12.59252350123619]
2022-11-03 12:24:12,648 INFO osmnx Found nearest node (2055294217) to point [55.71903972163895, 12.619202779204143]
2022-11-03 12:24:12,657 INFO osmnx Found nearest node (3762016495) to point [55.722939408246546, 12.64588748849395]
2022-11-03 12:24:12,668 INFO osmnx Found nearest node (283085076) to point [55.71033761073383, 12.452125226794632]
2022-11-03 12:24:12,677 INFO osmnx Found nearest node (282660567) to point [55.714273097139305, 12.47878682766696]
2022-11-03 12:24:12,687 INFO osmnx Found nearest node (30395616) to point [55.718202870480184, 12.50545389677105]
2022-11-03 12:24:12,697 INFO osmnx Found nearest node (26492994) to point [55.72212692874517, 12.53212642809825]
2022-11-03 12:24:12,707 INFO osmnx Found nearest node (20930063) to point [55.726045269924946, 12.558804415629549]
2022-11-03 12:24:12,717 INFO osmnx Found nearest node (7326848649) to point [55.729957892012216, 12.585487853335605]
2022-11-03 12:24:12,726 INFO osmnx Found nearest node (20923522) to point [55.73386479300165, 12.61217673517673]
2022-11-03 12:24:12,736 INFO osmnx Found nearest node (3762016495) to point [55.73776597088994, 12.638871055102888]
2022-11-03 12:24:12,746 INFO osmnx Found nearest node (4888260381) to point [55.725153250623755, 12.445036193727066]
2022-11-03 12:24:12,757 INFO osmnx Found nearest node (33034480) to point [55.7290902426653, 12.471707371880239]
2022-11-03 12:24:12,767 INFO osmnx Found nearest node (26653560) to point [55.733021519470256, 12.498384025069166]
2022-11-03 12:24:12,776 INFO osmnx Found nearest node (9812561827) to point [55.736947079024894, 12.525066147279293]
2022-11-03 12:24:12,786 INFO osmnx Found nearest node (323209574) to point [55.74086691931746, 12.5517537324857]
2022-11-03 12:24:12,796 INFO osmnx Found nearest node (25260946) to point [55.74478103833827, 12.578446774653115]
2022-11-03 12:24:12,805 INFO osmnx Found nearest node (4888260381) to point [55.73996845194969, 12.437941686048347]
2022-11-03 12:24:12,815 INFO osmnx Found nearest node (33034478) to point [55.74390695092447, 12.464622448802427]
2022-11-03 12:24:12,825 INFO osmnx Found nearest node (26653560) to point [55.747839732489226, 12.49130869340742]
